implement,implement_label,field_efficiency_low,field_efficiency_high,speed_mph_low,speed_mph_high,source
moldboard_plow,Moldboard Plow,0.7,0.9,3,6,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
chisel_plow,Chisel Plow,0.7,0.9,4,6.5,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
disk,Disks,0.7,0.9,3.5,6.5,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
field_cultivator,Field Cultivator,0.7,0.9,5,8,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
roller_packer,Roller Packer,0.7,0.9,4.5,7.5,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
row_cultivator,Row Cultivator,0.7,0.9,3,7,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
planter,Planter,0.5,0.75,4,7,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
grain_drill,Grain Drill,0.55,0.8,4,7,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
picker_sheller,Picker Sheller,0.6,0.75,2,4,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
combine,Combine,0.6,0.75,2,5,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
mower_conditioner_pull,"Mower-conditioner, Pull",0.75,0.85,3,6,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
mower_conditioner_rotary,"Mower-conditioner, Rotary, Pull",0.75,0.9,5,12,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
mower_conditioner_sp,"Mower-conditioner, Self-propelled",0.7,0.85,3,8,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
baler,Baler,0.6,0.9,2.5,8,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
forage_harvester_pull,"Forage Harvester, Pull-type",0.6,0.85,1.5,5,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
forage_harvester_sp,"Forage Harvester, Self-propelled",0.6,0.85,1.5,6,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
boom_sprayer,Boom Sprayer,0.5,0.8,3,7,"ASAE Standards 2005, Table 5 as republished in Schuler, 'Estimating Agricultural Field Machinery Costs', UW-Extension (dunn.extension.wisc.edu), retrieved 2026-08-16"
