year,recipient_age,active_rho,active_split,active_dup,passive_rho,passive_split,passive_dup,person_days,passive_measured,comparable
2003,0,116.190402,87.059864,133.913538,0.000000,0.000000,0.000000,3041897911.9,true,true
2003,1,87.703205,60.823159,103.950482,0.000000,0.000000,0.000000,3322561216.2,true,true
2003,2,76.495773,51.743870,91.759900,0.000000,0.000000,0.000000,3280461099.9,true,true
2003,3,71.255135,45.747213,87.044764,0.000000,0.000000,0.000000,3526230581.5,true,true
2003,4,66.081236,42.086156,80.868824,0.000000,0.000000,0.000000,3383943203.3,true,true
2003,5,67.843312,42.424411,83.864239,0.000000,0.000000,0.000000,3296431224.8,true,true
2003,6,53.863166,32.365704,67.452205,0.000000,0.000000,0.000000,3164313332.5,true,true
2003,7,48.770228,29.556353,60.748707,0.000000,0.000000,0.000000,3447574342.3,true,true
2003,8,45.431415,27.329187,57.054920,0.000000,0.000000,0.000000,3285874858.7,true,true
2003,9,38.435287,23.514358,47.873966,0.000000,0.000000,0.000000,3605829226.8,true,true
2003,10,37.331611,23.039675,46.660133,0.000000,0.000000,0.000000,3711556440.8,true,true
2003,11,32.196141,20.142134,40.096659,0.000000,0.000000,0.000000,3891060207.7,true,true
2003,12,25.808477,16.142137,32.090603,0.000000,0.000000,0.000000,3784697094.1,true,true
2003,13,21.398446,13.121208,26.793772,,,,4224699418.7,false,true
2003,14,15.945531,10.330189,19.674919,,,,4047279259.0,false,true
2003,15,9.675809,6.633434,11.627649,,,,5334738189.0,false,true
2003,16,7.847521,5.194574,9.536002,,,,5128885256.9,false,true
2003,17,6.805081,5.043025,7.910958,,,,5270968479.2,false,true
2003,18,2.875305,1.833284,3.565854,,,,5116565537.3,false,true
2003,19,2.305346,1.399618,3.044129,,,,3971064738.2,false,true
2003,20,2.344115,1.515512,2.855728,,,,4240032048.5,false,true
2003,21,2.816907,2.201432,3.178650,,,,4191061330.9,false,true
2003,22,2.910839,2.024914,3.451507,,,,3935056549.4,false,true
2003,23,5.541000,4.014505,6.544974,,,,3578840408.3,false,true
2003,24,4.620927,2.752530,5.774561,,,,3318005879.3,false,true
2003,25,5.592010,3.744506,6.763932,,,,3065420304.2,false,true
2003,26,5.118066,3.409682,6.215679,,,,3049323807.2,false,true
2003,27,6.077230,4.055297,7.291492,,,,2851541211.5,false,true
2003,28,8.506535,5.900403,10.098262,,,,2971734119.1,false,true
2003,29,6.027112,3.989786,7.321441,,,,2897061581.2,false,true
2003,30,7.181954,4.710598,8.746192,,,,2704537654.6,false,true
2003,31,9.354731,6.213126,11.313137,,,,2888683179.2,false,true
2003,32,8.303339,5.208806,10.281683,,,,3037928025.0,false,true
2003,33,10.461329,6.883663,12.607214,,,,3460394871.4,false,true
2003,34,8.184370,4.719278,10.475471,,,,2844933815.5,false,true
2003,35,7.902999,4.496253,10.174565,,,,3327707739.7,false,true
2003,36,8.243968,5.344965,10.171146,,,,3175788613.3,false,true
2003,37,6.188281,3.698781,7.890341,,,,3467984590.3,false,true
2003,38,7.390329,4.688312,9.097753,,,,3614513012.4,false,true
2003,39,7.035327,4.710848,8.583532,,,,4050641131.8,false,true
2003,40,5.068009,3.635782,5.932575,,,,3501206064.6,false,true
2003,41,4.131189,2.840174,4.965020,,,,4198452600.7,false,true
2003,42,6.378273,4.382857,7.529814,,,,4142191951.0,false,true
2003,43,5.445803,4.084215,6.368641,,,,4158894397.2,false,true
2003,44,4.914429,3.752192,5.658825,,,,4336427590.4,false,true
2003,45,4.355086,3.620546,4.814899,,,,4310397629.7,false,true
2003,46,4.402745,3.184430,5.162506,,,,4214576279.6,false,true
2003,47,4.518443,3.472290,5.191187,,,,4209681363.9,false,true
2003,48,4.186553,3.567318,4.584139,,,,4087492126.0,false,true
2003,49,5.914146,5.000332,6.473818,,,,4151517737.0,false,true
2003,50,3.420843,2.815662,3.777331,,,,3996945580.5,false,true
2003,51,4.217646,3.561701,4.609997,,,,3695569966.9,false,true
2003,52,3.519203,3.036527,3.811230,,,,3713813792.2,false,true
2003,53,2.924041,2.609892,3.100999,,,,3252806099.1,false,true
2003,54,2.517587,2.215982,2.705777,,,,3358736035.4,false,true
2003,55,3.510586,3.341067,3.620341,,,,3086156612.8,false,true
2003,56,4.050439,3.556488,4.374524,,,,3070340522.8,false,true
2003,57,5.501504,5.242948,5.658510,,,,2578675735.0,false,true
2003,58,1.355476,1.151094,1.470025,,,,2302049725.6,false,true
2003,59,2.938540,2.745247,3.062610,,,,2327193156.4,false,true
2003,60,3.430285,3.170111,3.591056,,,,2119612177.9,false,true
2003,61,2.590580,2.390237,2.727720,,,,2005211108.8,false,true
2003,62,7.404966,5.653169,8.517791,,,,1827156910.0,false,true
2003,63,5.303367,4.980574,5.542117,,,,1727319304.0,false,true
2003,64,4.060378,3.843616,4.198407,,,,1780529972.2,false,true
2003,65,9.529680,9.412402,9.591315,,,,1729765106.9,false,true
2003,66,6.050324,5.949208,6.103464,,,,1401553506.4,false,true
2003,67,4.183210,3.964664,4.298906,,,,1473177819.2,false,true
2003,68,6.729654,6.503054,6.852454,,,,1478774409.4,false,true
2003,69,12.032436,12.026834,12.035380,,,,1194637315.0,false,true
2003,70,7.109620,6.794133,7.275421,,,,1293547190.6,false,true
2003,71,8.309123,8.090399,8.427172,,,,1219448322.9,false,true
2003,72,8.655237,8.339944,8.838383,,,,1320476293.5,false,true
2003,73,6.009813,5.941656,6.050724,,,,1267222814.6,false,true
2003,74,7.876767,7.629568,8.074250,,,,1099904430.0,false,true
2003,75,7.682283,7.582543,7.752270,,,,1262860203.4,false,true
2003,76,5.183018,5.026875,5.285051,,,,1141619043.3,false,true
