year,recipient_age,household_member,minutes_per_recipient_day,recipient_days,n_records,comparable
2011,23,0,0.000000,6965971.4,1,true
2011,26,0,0.000000,2090687.7,1,true
2011,28,0,0.000000,10361436.4,1,true
2011,29,0,0.000000,11543045.1,1,true
2011,30,0,98.765930,2210858.3,1,true
2011,31,0,0.000000,11543045.1,1,true
2011,35,0,0.000000,16604450.3,2,true
2011,35,1,127.063416,11741546.1,1,true
2011,36,0,0.000000,20473273.9,1,true
2011,38,0,0.000000,2275327.0,1,true
2011,39,1,303.128002,23671259.4,2,true
2011,40,0,19.736195,10959809.1,3,true
2011,41,0,0.000000,7023141.6,1,true
2011,42,0,0.000000,32371138.4,3,true
2011,42,1,9.353794,20868309.4,3,true
2011,43,0,71.512814,8567686.5,3,true
2011,43,1,0.000000,5377326.9,1,true
2011,44,0,0.000000,2503259.9,1,true
2011,44,1,36.140409,14336072.1,2,true
2011,45,0,0.000000,17174182.3,2,true
2011,46,0,0.000000,20136674.3,2,true
2011,47,0,6.036692,17642063.8,2,true
2011,48,0,434.268252,14552623.5,3,true
2011,49,0,7.408699,39803655.6,4,true
2011,49,1,0.000000,31854048.6,1,true
2011,50,0,87.356678,146269176.9,21,true
2011,50,1,23.718005,40312167.7,2,true
2011,51,0,3.595668,55856784.3,9,true
2011,51,1,0.000000,5926684.5,1,true
2011,52,0,120.847650,67822445.0,9,true
2011,53,0,7.385338,63801301.1,7,true
2011,53,1,201.835243,36062630.9,5,true
2011,54,0,2.091439,112640127.8,13,true
2011,54,1,30.000000,11025443.1,1,true
2011,55,0,62.757923,185763749.0,24,true
2011,55,1,56.678726,8977588.4,2,true
2011,56,0,54.322174,70625424.0,16,true
2011,56,1,98.357729,111219699.0,8,true
2011,57,0,0.636477,108604567.3,18,true
2011,57,1,190.275710,8980776.7,2,true
2011,58,0,45.008007,121238131.7,19,true
2011,58,1,42.951192,18344810.2,2,true
2011,59,0,5.218394,70580546.9,10,true
2011,59,1,42.546743,25500184.2,3,true
2011,60,0,43.101695,327524301.7,47,true
2011,60,1,230.470255,45509380.1,4,true
2011,61,0,40.490247,114828304.5,18,true
2011,61,1,91.103785,43369700.4,5,true
2011,62,0,46.814003,179724525.7,28,true
2011,62,1,36.153965,43553455.5,5,true
2011,63,0,14.418453,195066524.1,33,true
2011,63,1,287.280204,43654315.5,5,true
2011,64,0,21.236274,149346663.9,32,true
2011,64,1,30.912412,112384822.3,10,true
2011,65,0,19.056641,544613417.9,81,true
