year,tier3,mean_minutes_per_day,label
2003,010101,512.271724,Sleeping
2003,010102,1.741902,Sleeplessness
2003,010201,39.999068,"Washing, dressing and grooming oneself"
2003,010299,0.077371,"Grooming, n.e.c."
2003,010301,4.331381,Health-related self care
2003,010399,0.138828,"Self care, n.e.c."
2003,010401,0.936515,Personal/Private activities
2003,010499,0.081996,"Personal activities, n.e.c."
2003,010501,0.000684,Personal emergencies
2003,019999,0.004871,"Personal care, n.e.c."
2003,020101,21.985537,Interior cleaning
2003,020102,11.114282,Laundry
2003,020103,1.831264,"Sewing, repairing, & maintaining textiles"
2003,020104,1.647915,"Storing interior hh items, inc. food"
2003,020199,0.223745,"Housework, n.e.c."
2003,020201,23.956445,Food and drink preparation
2003,020202,0.353384,Food presentation
2003,020203,7.621506,Kitchen and food clean-up
2003,020299,0.006555,"Food & drink prep, presentation, & clean-up, n.e.c."
2003,020301,4.431719,"Interior arrangement, decoration, & repairs"
2003,020302,0.545213,Building and repairing furniture
2003,020303,0.575871,Heating and cooling
2003,020399,0.104108,"Interior maintenance, repair, & decoration, n.e.c."
2003,020401,1.862653,Exterior cleaning
2003,020402,2.180622,"Exterior repair, improvements, & decoration"
2003,020499,0.100705,"Exterior maintenance, repair & decoration, n.e.c."
2003,020501,11.528271,"Lawn, garden, and houseplant care"
2003,020502,0.283002,"Ponds, pools, and hot tubs"
2003,020599,0.020662,"Lawn and garden, n.e.c."
2003,020681,4.864579,Care for animals and pets (not veterinary care)
2003,020699,0.042951,"Pet and animal care, n.e.c."
2003,020701,2.917501,Vehicle repair and maintenance (by self)
2003,020799,0.038097,"Vehicles, n.e.c."
2003,020801,1.037380,"Appliance, tool, and toy set-up, repair, & maintenance (by self)"
2003,020899,0.006010,"Appliances and tools, n.e.c."
2003,020901,2.087017,Financial management
2003,020902,5.670842,Household & personal organization and planning
2003,020903,1.834445,HH & personal mail & messages (except e-mail)
2003,020904,2.171710,HH & personal e-mail and messages
2003,020905,0.141018,Home security
2003,020999,0.022234,"Household management, n.e.c."
2003,029999,0.355676,"Household activities, n.e.c."
2003,030101,10.446387,Physical care for hh children
2003,030102,0.735904,Reading to/with hh children
2003,030103,5.042566,"Playing with hh children, not sports"
2003,030104,0.050701,Arts and crafts with hh children
2003,030105,0.210635,Playing sports with hh children
2003,030108,0.192715,Organization & planning for hh children
2003,030109,1.480604,Looking after hh children (as a primary activity)
2003,030110,1.242639,Attending hh children's events
2003,030111,0.359423,Waiting for/with hh children
2003,030112,1.088414,Picking up/dropping off hh children
2003,030186,1.329191,Talking with/listening to hh children
2003,030199,0.263544,"Caring for & helping hh children, n.e.c."
2003,030201,1.855412,Homework (hh children)
2003,030202,0.175857,Meetings and school conferences (hh children)
2003,030203,0.203293,Home schooling of hh children
2003,030204,0.002431,Waiting associated with hh children's education
2003,030299,0.027984,"Activities related to hh child's education, n.e.c."
2003,030301,0.277644,Providing medical care to hh children
2003,030302,0.180544,Obtaining medical care for hh children
2003,030303,0.185856,Waiting associated with hh children's health
2003,030399,0.092850,"Activities related to hh child's health, n.e.c."
2003,030401,0.749776,Physical care for hh adults
2003,030402,0.053739,Looking after hh adult (as a primary activity)
2003,030403,0.149806,Providing medical care to hh adult
2003,030404,0.066220,Obtaining medical and care services for hh adult
2003,030405,0.356046,Waiting associated with caring for household adults
2003,030499,0.191713,"Caring for household adults, n.e.c."
2003,030501,0.526797,Helping hh adults
2003,030502,0.097375,Organization & planning for hh adults
2003,030503,0.256248,Picking up/dropping off hh adult
2003,030504,0.259509,Waiting associated with helping hh adults
2003,030599,0.073357,"Helping household adults, n.e.c."
2003,039999,0.023172,"Caring for & helping hh members, n.e.c."
2003,040101,0.828881,Physical care for nonhh children
2003,040102,0.054003,Reading to/with nonhh children
2003,040103,1.284015,"Playing with nonhh children, not sports"
2003,040104,0.019898,Arts and crafts with nonhh children
2003,040105,0.022800,Playing sports with nonhh children
2003,040108,0.061736,Organization & planning for nonhh children
2003,040109,1.430951,Looking after nonhh children (as primary activity)
2003,040110,0.264595,Attending nonhh children's events
2003,040111,0.073155,Waiting for/with nonhh children
2003,040112,0.281573,Dropping off/picking up nonhh children
2003,040186,0.379633,Talking with/listening to nonhh children
2003,040199,0.251386,"Caring for and helping nonhh children, n.e.c."
