year,n_respondents,population_15_plus,mean_household_size,mean_age,weight_variable,comparable
2003,20720,225290906.6,3.0287,43.612,TUFNWGTP,true
2004,13973,228104927.9,3.0220,43.734,TUFNWGTP,true
2005,13038,230427482.3,2.9975,43.881,TUFNWGTP,true
2006,12943,233122400.3,3.0090,44.013,TUFNWGTP,true
2007,12248,236105785.2,3.0006,44.113,TUFNWGTP,true
2008,12723,238659192.1,2.9654,44.266,TUFNWGTP,true
2009,13133,239898189.8,3.0016,44.481,TUFNWGTP,true
2010,13260,241913480.4,3.0493,44.572,TUFNWGTP,true
2011,12479,243651203.1,3.0158,44.743,TUFNWGTP,true
2012,12443,248063295.5,3.0213,44.991,TUFNWGTP,true
2013,11385,249810847.6,2.9722,45.213,TUFNWGTP,true
2014,11592,252086923.2,2.9848,45.395,TUFNWGTP,true
2015,10905,255023486.0,2.9763,45.536,TUFNWGTP,true
2016,10493,258452030.6,2.9571,45.625,TUFNWGTP,true
2017,10223,259204264.4,2.9444,45.821,TUFNWGTP,true
2018,9593,261895319.5,2.9420,46.021,TUFNWGTP,true
2019,9435,263362365.2,2.9186,46.137,TUFNWGTP,true
2020,8782,226870721.0,2.9242,46.380,TU20FWGT,false
2021,9087,265629665.6,2.9249,46.499,TUFNWGTP,true
2022,8136,268366501.6,2.9318,46.515,TUFNWGTP,true
2023,8548,271336907.2,2.8824,46.505,TUFNWGTP,true
2024,7669,273660188.8,2.8917,46.615,TUFNWGTP,true
2025,6146,277984657.5,2.9063,46.687,TUFNWGTP,true
