year,age,population
2020,0,3691723
2020,1,3750601
2020,2,3826776
2020,3,3888055
2020,4,3976772
2020,5,4005096
2020,6,3991809
2020,7,4001739
2020,8,4015045
2020,9,4075107
2020,10,4169406
2020,11,4246735
2020,12,4383961
2020,13,4379402
2020,14,4318919
2020,15,4306761
2020,16,4331506
2020,17,4300534
2020,18,4378169
2020,19,4653347
2020,20,4681521
2020,21,4537076
2020,22,4405909
2020,23,4300830
2020,24,4285601
2020,25,4325187
2020,26,4366117
2020,27,4422550
2020,28,4509105
2020,29,4604744
2020,30,4652848
2020,31,4524680
2020,32,4460347
2020,33,4415515
2020,34,4449946
2020,35,4442954
2020,36,4325805
2020,37,4384482
2020,38,4360630
2020,39,4327425
2020,40,4325608
2020,41,4122291
2020,42,4023765
2020,43,3981542
2020,44,3861283
2020,45,3910994
2020,46,3822978
2020,47,3891742
2020,48,4059006
2020,49,4312989
2020,50,4280988
2020,51,4125792
2020,52,4031490
2020,53,4040864
2020,54,4132662
2020,55,4312231
2020,56,4415700
2020,57,4419964
2020,58,4404280
2020,59,4444574
2020,60,4391557
2020,61,4302753
2020,62,4273638
2020,63,4216457
2020,64,4050214
2020,65,3971255
2020,66,3816871
2020,67,3665530
2020,68,3508712
2020,69,3378002
2020,70,3233073
2020,71,3134353
2020,72,3065307
2020,73,3162555
2020,74,2305216
2020,75,2213791
2020,76,2137717
2020,77,2155510
2020,78,1840717
2020,79,1650210
2020,80,1507667
2020,81,1392011
2020,82,1292043
2020,83,1148623
2020,84,1050962
2020,85,966105
2020,86,822176
2020,87,752928
2020,88,673521
2020,89,597896
2020,90,528491
2020,91,435496
2020,92,369474
2020,93,302407
2020,94,237865
2020,95,187290
2020,96,140502
2020,97,102874
2020,98,71153
2020,99,50624
2020,100,79080
2021,0,3572165
2021,1,3697247
2021,2,3756935
2021,3,3832978
2021,4,3894042
2021,5,3982515
2021,6,4010593
2021,7,3997065
2021,8,4006869
2021,9,4020066
2021,10,4079899
2021,11,4174119
2021,12,4251285
2021,13,4388243
2021,14,4383705
2021,15,4323562
2021,16,4311859
2021,17,4337844
2021,18,4307633
2021,19,4384474
2021,20,4658564
2021,21,4685525
2021,22,4542160
2021,23,4412158
2021,24,4307794
2021,25,4292420
2021,26,4331733
2021,27,4372373
2021,28,4427647
2021,29,4513160
2021,30,4608103
2021,31,4654862
2021,32,4526343
2021,33,4460665
2021,34,4415074
2021,35,4448210
2021,36,4440159
2021,37,4322361
2021,38,4379863
2021,39,4354778
2021,40,4320584
2021,41,4317608
2021,42,4113713
2021,43,4015267
2021,44,3972331
