agency,series_code,series_name,headcount,snapshot,source
FWS,0401,GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES,2166,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,0482,FISH BIOLOGY,508,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,0404,BIOLOGICAL SCIENCE TECHNICIAN,476,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,0485,WILDLIFE REFUGE MANAGEMENT,450,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,0486,WILDLIFE BIOLOGY,354,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,1801,"GENERAL INSPECTION, INVESTIGATION, ENFORCEMENT, AND COMPLIANCE SERIES",353,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,0456,WILDLAND FIRE MANAGEMENT,315,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,4749,MAINTENANCE MECHANIC,309,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,0480,FISH AND WILDLIFE ADMINISTRATION,253,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,0303,MISCELLANEOUS CLERK AND ASSISTANT,237,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,0025,PARK RANGER,209,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,1811,CRIMINAL INVESTIGATION,187,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,0341,ADMINISTRATIVE OFFICER,183,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,5716,ENGINEERING EQUIPMENT OPERATING,162,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,0301,MISCELLANEOUS ADMINISTRATION AND PROGRAM,150,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,0343,MANAGEMENT AND PROGRAM ANALYSIS,147,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
FWS,0560,BUDGET ANALYSIS,137,202509,"OPM Federal Workforce Data, employment 2025-09 v3 (data.opm.gov/api/v1/files/employment/2025/09/3)"
