sample,code,minutes_per_day
AT2008,1,0.0156
AT2008,2,497.8043
AT2008,3,0.0029
AT2008,4,48.9852
AT2008,5,8.7278
AT2008,6,81.8411
AT2008,7,216.8044
AT2008,12,3.4398
AT2008,13,0.4043
AT2008,14,1.1817
AT2008,15,9.7102
AT2008,17,10.4863
AT2008,18,36.3437
AT2008,19,10.0919
AT2008,20,41.3182
AT2008,21,15.9655
AT2008,22,10.0954
AT2008,23,1.7679
AT2008,24,20.1535
AT2008,25,4.7363
AT2008,26,1.3149
AT2008,27,4.8242
AT2008,28,13.5973
AT2008,29,2.3421
AT2008,30,11.3060
AT2008,31,5.5917
AT2008,32,1.1626
AT2008,33,13.1321
AT2008,34,2.5548
AT2008,35,0.4516
AT2008,36,0.7591
AT2008,37,2.4349
AT2008,38,4.5269
AT2008,39,13.4893
AT2008,40,5.4749
AT2008,42,14.2138
AT2008,43,13.2320
AT2008,44,2.0788
AT2008,45,1.7937
AT2008,46,12.9484
AT2008,47,6.8669
AT2008,48,30.1768
AT2008,49,15.7300
AT2008,50,4.4250
AT2008,51,0.6758
AT2008,52,1.3665
AT2008,54,4.6696
AT2008,55,10.3110
AT2008,56,21.1494
AT2008,57,1.7250
AT2008,59,112.0725
AT2008,60,4.2390
AT2008,61,12.4086
AT2008,62,0.8373
AT2008,64,2.7448
AT2008,65,24.8806
AT2008,66,4.9975
AT2008,67,12.6548
AT2008,68,19.8651
AT2008,69,1.0987
BG1965,2,487.4496
BG1965,4,48.2323
BG1965,5,14.8923
BG1965,6,70.3191
BG1965,7,320.4177
BG1965,8,3.1554
BG1965,11,6.7449
BG1965,12,11.8267
BG1965,13,12.1493
BG1965,15,6.3004
BG1965,16,6.3180
BG1965,17,2.2022
BG1965,18,39.8555
BG1965,19,5.5915
BG1965,20,29.8724
BG1965,21,11.0022
BG1965,22,10.8857
BG1965,23,6.5632
BG1965,24,18.0447
BG1965,25,4.7932
BG1965,26,1.3151
BG1965,28,9.8621
BG1965,29,4.5151
BG1965,30,1.6864
