sample,country,year,n_respondents,undom_minutes_per_day,chcare_minutes_per_day,work_minutes_per_day,travel_minutes_per_day,educa_minutes_per_day,day_minutes
AT1992,AT,1992,19490,190.5788,29.8247,181.2105,37.9513,13.4269,1440.0000
AT2008,AT,2008,6504,146.6116,32.8371,221.8302,65.9800,20.1965,1440.0000
BG1965,BG,1965,2037,127.9237,16.3594,354.2941,82.8010,14.8206,1440.0000
BG2001,BG,2001,11109,177.3065,17.9129,186.4458,72.9533,0.0000,1440.0000
CA1992,CA,1992,7604,143.0211,27.0302,223.9253,72.9764,21.4402,1440.0000
CA2005,CA,2005,16210,136.5103,26.6997,242.8589,74.5566,22.9834,1440.0000
CA2010,CA,2010,12304,141.6468,33.6723,225.4110,81.0262,24.6179,1440.0000
FR1966,FR,1966,2688,189.0227,34.3346,265.9745,53.9253,17.1821,1440.0000
FR1985,FR,1985,14358,167.9788,22.1967,198.2290,69.4752,19.6855,1440.0000
FR1999,FR,1998,12523,176.5512,21.5447,188.8824,62.4466,22.9929,1680.0000
FR2009,FR,2010,22153,156.4867,26.4572,184.4118,81.7932,10.5492,1440.0000
KR1999,KR,1999,68007,107.9970,25.3958,280.0079,88.6411,37.9274,1440.0000
KR2004,KR,2004,49561,105.5557,25.5841,235.3510,105.6551,29.3511,1440.0000
KR2009,KR,2009,30552,101.7276,25.9987,243.3799,98.7045,31.5094,1440.0000
NL1975,NL,1975,7629,160.9898,21.4342,139.3142,58.9274,23.7961,1440.0000
NL1980,NL,1980,15869,163.7848,23.4962,138.6364,58.7160,24.4609,1440.0000
NL1985,NL,1985,19393,168.3228,22.3687,140.2923,63.4878,28.7638,1440.0000
NL1990,NL,1990,18998,151.7287,21.7908,156.7548,69.0607,32.6458,1440.0000
NL1995,NL,1995,19673,149.3988,21.8956,165.1772,74.6769,25.7928,1440.0000
NL2000,NL,2000,10638,145.9925,24.6605,186.1544,76.6683,19.3965,1440.0000
US1965,US,1965,1991,170.7410,28.8480,263.0315,78.3769,14.5196,1440.0000
US1975,US,1975,6471,150.7998,22.2212,214.9428,77.5490,12.7816,1440.0000
US1985,US,1985,2491,145.0463,20.0100,221.1557,88.4000,15.1285,1440.0000
US1993,US,1992,6389,138.6372,20.3802,239.1709,88.3545,19.7067,1440.0000
US1995,US,1994,1020,149.1114,32.4314,253.3261,90.7644,19.6406,1440.0000
US1998,US,1999,1786,159.3865,54.4445,250.3919,98.0258,12.5716,1440.0000
US2003,US,2003,16819,123.8120,30.6892,242.4977,80.4215,15.9594,1440.0000
US2004,US,2004,11302,122.9460,30.6954,239.6707,80.0217,16.5274,1440.0000
US2005,US,2005,10527,123.1736,30.4665,240.8752,80.1274,15.3736,1440.0000
US2006,US,2006,10287,121.0608,29.4571,245.8648,79.9445,15.9306,1440.0000
US2007,US,2007,9750,121.1137,30.0005,252.1420,77.3481,14.0266,1440.0000
US2008,US,2008,10216,114.8503,30.1544,245.7885,76.5134,16.0338,1440.0000
US2009,US,2009,10511,118.8891,31.0307,232.5935,77.1861,16.0962,1440.0000
US2010,US,2010,10511,116.7270,29.0187,231.3572,78.1942,16.1090,1440.0000
US2011,US,2011,9898,115.2424,28.4798,235.4921,77.1058,16.9729,1440.0000
US2012,US,2012,9881,113.2424,29.2853,234.1911,77.4309,17.6278,1440.0000
US2013,US,2013,8981,116.8980,29.1019,230.0062,76.1628,16.0322,1440.0000
US2014,US,2014,9154,115.4354,29.6409,237.6492,73.2245,16.1718,1440.0000
US2015,US,2015,8697,119.3771,28.6270,233.9529,75.0784,16.7806,1440.0000
US2016,US,2016,8190,117.3507,28.7016,239.5328,77.8635,16.9950,1440.0000
US2017,US,2017,7936,114.2856,28.5280,240.0104,77.0511,17.7126,1440.0000
US2018,US,2018,7319,112.5506,27.7536,237.5490,76.4492,18.7313,1440.0000
US2019,US,2019,7086,113.4330,26.9536,242.8325,79.1319,17.1873,1440.0000
US2020,US,2020,6516,120.5036,29.4689,227.2622,56.1952,18.4531,1440.0000
US2021,US,2021,6732,117.9057,27.4178,238.8502,61.8850,16.7298,1440.0000
US2022,US,2022,5970,115.8363,25.7567,240.0690,65.3183,14.8550,1440.0000
US2023,US,2023,6012,116.7050,27.4655,245.5697,68.3430,14.5266,1440.0000
US2024,US,2024,5380,120.9914,28.7044,231.4799,69.6978,16.1440,1440.0000
ZA2000,ZA,2000,10696,155.7394,17.9184,182.5944,81.5168,33.1250,1440.0000
ZA2010,ZA,2010,29365,157.7195,17.5591,188.5452,69.8416,19.7006,1440.0000
