age,minutes_per_day,diaries,samples
0,220.6285,33,1
1,170.4119,105,1
2,167.1091,122,1
3,187.4527,1039,3
4,182.5185,985,3
5,173.0141,942,3
6,184.4892,1010,3
7,182.7285,1014,3
8,174.7344,1381,4
9,179.6199,1472,5
10,171.2599,6795,14
11,171.0628,6888,15
12,170.1411,8852,22
13,173.6717,8926,21
14,178.0159,10037,25
15,167.9929,12530,49
16,165.6012,15376,53
17,170.6791,14482,53
18,185.1072,13248,63
19,195.9238,11130,55
20,197.3266,10579,55
21,205.5510,10932,55
22,212.5646,15726,65
23,213.2551,12739,55
24,218.1784,13249,55
25,224.8970,14044,55
26,226.5102,14972,55
27,236.0338,19947,65
28,240.9332,16152,55
29,240.2119,16168,55
30,247.8470,16712,55
31,253.5339,16558,55
32,254.7077,20786,58
33,259.5567,17689,55
34,262.8938,17945,55
35,277.0529,22759,62
36,269.1609,18334,55
37,265.4085,21476,58
38,269.9879,18094,55
39,276.1943,17893,55
40,272.7326,17976,55
41,274.7383,16592,55
42,273.2773,20317,58
43,274.2832,16831,55
44,276.4812,16491,55
45,287.1498,19299,62
46,278.7552,15501,55
47,272.9327,18148,58
48,279.2809,14644,55
49,279.4674,14490,55
50,282.8381,14525,55
51,283.5693,13883,55
52,286.9140,18128,65
53,291.2942,12922,55
54,288.1594,12801,55
55,297.9898,12840,55
56,296.5613,12633,55
57,298.6599,16277,65
58,298.5508,12860,55
59,302.1299,12158,55
60,309.5535,12224,55
61,309.9247,11567,55
62,320.4022,15363,65
63,316.3171,11191,55
64,318.3283,10862,55
65,330.2213,11309,55
66,327.5876,10723,54
67,326.8090,12475,58
68,329.7740,10096,54
69,332.6569,9745,54
70,327.9414,9487,53
71,334.9440,8353,53
72,330.2613,10103,62
73,332.0874,7662,54
74,336.8635,7336,54
75,331.4528,6778,53
76,333.0880,6212,54
77,317.9285,7101,56
78,322.2738,5718,53
79,332.4096,5007,53
80,300.0984,18837,56
81,329.3877,2011,19
82,325.0081,1872,21
83,332.3314,1405,19
84,314.2542,1389,19
85,322.2877,1516,16
86,318.7847,679,14
87,301.7785,582,13
88,287.9689,397,11
89,261.2980,279,10
90,261.3407,1093,15
