occ6,ep_employment_k,oews_median_wage,f_training,f_demand,f_scarcity,i_dependency,i_substitutability,i_harm,i_temporal,f_impact,composite,reference_multiplier,title,methodology_version,reference_epoch
111011,322.7,213990.0,1.0,0.30698389701137085,0.22586065355254373,0.9934065241680592,0.07221580248107207,0.5840335533002188,0.6680424459578763,0.6281242032749158,0.5789491557820804,2.325,Chief Executives,mult-5.1.0,2026-07-29
111021,3876.8,105770.0,0.8275555570771228,0.3652233406155439,0.2798396536687324,1.0,0.3425305062622722,0.7128644841752672,0.5804491370209477,0.8286097124465365,0.6026928611224034,2.437,General and Operations Managers,mult-5.1.0,2026-07-29
112011,26.4,133660.0,0.8180831361323034,0.2152104970705662,0.20174739124742452,0.7652292826768389,0.3235827891882931,0.5067349947751901,0.6206962371470172,0.5462475236737248,0.4761389242752487,1.897,Advertising and Promotions Managers,mult-5.1.0,2026-07-29
112021,433.7,166790.0,0.8768960747375881,0.231629431414236,0.3031020755746058,0.9743713450613947,0.26605988273221426,0.5754448245752157,0.7296652740807908,0.7540802535226272,0.5701166587704134,2.285,Marketing Managers,mult-5.1.0,2026-07-29
112022,648.5,148270.0,0.8603740722193185,0.23958481336047338,0.26354031664773997,0.9883929706215046,0.20959877251259373,0.4666542607251749,0.9008361627519254,0.7472449549181942,0.5575277270650104,2.228,Sales Managers,mult-5.1.0,2026-07-29
112033,47.6,125470.0,0.863583728675292,0.0858500182686617,0.2580019238128951,0.9126249710425841,0.3632439038522919,0.5826020985127186,0.6062119532074739,0.7133165910575308,0.5104671556967147,2.03,Fundraising Managers,mult-5.1.0,2026-07-29
113012,283.8,114130.0,0.7160352001603888,0.3260465748937739,0.2925280997685805,0.9958355561704418,0.13633345013998366,0.5053035399876893,0.4771832454967292,0.5303246929351192,0.48740899695905604,1.939,Administrative Services Managers,mult-5.1.0,2026-07-29
113013,157.1,106660.0,0.8820995433553662,0.5122252080691669,0.2942006104722753,0.9997436208263234,0.05859190516685786,0.5940537368127228,0.3987670822994298,0.5023418228242359,0.5771117428244156,2.317,Facilities Managers,mult-5.1.0,2026-07-29
113021,768.7,175140.0,0.8835028760011758,0.23249557089420123,0.37140250650068,0.9493508449131915,0.2585828045633166,0.7157273937502683,0.7062005554609074,0.8040608236421695,0.5984704627345814,2.417,Computer and Information Systems Managers,mult-5.1.0,2026-07-29
113031,997.4,166570.0,0.9122383092412949,0.15389567382827252,0.3787065728858764,0.9674606406210842,0.017388458654261307,0.7057072102377645,0.8286057710997029,0.7257910565798419,0.5693344899515923,2.281,Financial Managers,mult-5.1.0,2026-07-29
