practice_code,practice_name,scenarios,units,has_labour_line,has_time_unit,names_foregone_income,source
101,CNMP Design and Implementation Activity,4,AU|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
102,Comprehensive Nutrient Management Plan,6,AU|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
106,Forest Management Plan,2,Ac|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
110,Grazing Management Plan,2,Ac|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
116,Soil Health Management Plan,3,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
120,Agricultural Energy Design,6,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
138,Conservation Plan Supporting Organic Transition,3,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
140,Transition to Organic Design,2,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
144,Fish and Wildlife Habitat Design,2,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
148,Pollinator Habitat Design,1,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
157,Nutrient Management Design and Implementation Activity ,2,Ac|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
158,Feed Management Design,1,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
159,Grazing Management Design,2,Ac|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
160,Prescribed Burning Design,2,Ac|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
161,Pest Management Conservation System Design,3,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
162,Soil Health Management System Design,3,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
163,Irrigation Water Management Design ,4,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
164,Improved Management of Drainage Water Design,3,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
165,Forest Management Practice Design,2,Ac|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
199,Conservation Plan,7,Ac|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
201,Edge-of-Field Water Quality Monitoring-Data Collection and Evaluation,8,Ea,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
202,Edge-of-Field Water Quality Monitoring-System Installation,5,Ea,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
204,Adaptive Management for Soil Health,1,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
206,Feed and Forage Analysis,1,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
207,Site Assessment and Soil Testing for Contaminants Activity,4,No|kSqFt,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
209,PFAS Testing in Water or Soil,3,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
216,Soil Health Testing,2,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
217,Soil and Source Testing for Nutrient Management,7,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
218,Carbon Sequestration and Greenhouse Gas Mitigation Assessment,3,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
219,Prescribed Grazing Conservation Evaluation and Monitoring Activity,2,Ac|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
221,Soil Organic Carbon Stock Monitoring,2,No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
222,Indigenous Stewardship Methods Evaluation,2,Ac|No,False,False,False,"NRCS EQIP payment schedule, Pennsylvania EQIP-1, FY2026 (ps_results_equi_2026.csv)"
