statefp,countyfp,parcels,area_m2,area_parcels,government_parcels,ownertype_known
01,001,37087,1937701312.1,37087,284,31331
01,003,161455,4011437795.0,161455,2653,161455
01,005,25036,2342792395.0,25036,90,4833
01,007,16308,1587867683.8,16308,537,15065
01,009,52589,1741713108.2,52589,422,45786
01,011,10680,1595366382.5,10680,156,10461
01,013,20538,1971797289.3,20538,250,20501
01,015,77626,1142054372.5,77626,1440,77585
01,017,24553,1399766343.8,24553,371,24030
01,019,35663,1392401208.4,35663,248,35662
01,021,31191,1753491040.6,31191,366,25695
01,023,22689,2366884919.6,22689,176,22550
01,025,31022,3186771649.4,31022,398,28583
01,027,16957,1536178755.1,16957,285,15627
01,029,17048,1418599148.8,17048,734,17043
01,031,35605,1713592680.5,35605,575,35325
01,033,43289,1498347403.0,43289,964,43217
01,035,18542,2171045215.2,18542,173,18211
01,037,15991,1726506921.5,15991,0,29
01,039,33547,2614219713.3,33547,1005,32848
01,041,15098,1272107427.7,15098,111,15078
01,043,60295,1896648082.7,60295,534,60292
01,045,30693,1414369891.2,30693,576,30472
01,047,32153,2575159360.2,32153,883,29331
01,049,52493,1944133680.1,52493,713,52491
01,051,53174,1702963972.6,53174,365,49776
01,053,31682,2411912395.8,31682,722,26482
01,055,74227,1265909052.6,74227,1796,74227
01,057,21817,1588525901.0,21817,201,21623
01,059,23537,1629930061.1,23537,344,23537
01,061,24080,1457577122.9,24080,658,20377
01,063,10945,1654454962.5,10945,264,10878
01,065,16418,1658556568.3,16418,275,16328
01,067,21153,1416433617.9,21153,227,21111
01,069,63398,1441976940.6,63398,848,63212
01,071,44057,2733010006.4,44057,1510,43671
01,073,330187,2968024837.7,330187,6641,327909
01,075,20050,1533272222.0,20050,429,15550
01,077,55133,1766917934.1,55133,890,55098
01,079,26771,1848672482.3,26771,709,26119
01,081,65754,1620102784.8,65754,193,21619
01,083,66371,1448546947.1,66371,792,66371
01,085,12467,1832089121.3,12467,202,12467
01,087,20106,1585418445.8,20106,137,18387
01,089,192597,1839265812.6,192597,1634,192597
01,091,23333,2499137940.7,23333,542,19971
01,093,29049,1866311559.5,29049,543,27924
01,095,62774,1611791968.4,62774,1188,62166
01,097,227000,3440654597.2,227000,4303,154094
01,099,26992,2679510271.8,26992,0,57
01,101,105484,1967050648.5,105484,2403,105484
01,103,64962,1475370176.2,64962,939,64962
01,105,12198,1844535614.7,12198,674,11547
01,107,23928,2289316463.4,23928,422,21239
01,109,23044,1696726226.6,23044,338,23044
01,111,27807,1464583801.5,27807,299,27430
01,113,37776,1765060173.4,37776,755,37114
01,115,60680,1690837667.5,60680,461,58811
01,117,108169,1981834779.6,108169,1326,106934
01,119,16161,2310939023.6,16161,406,16060
01,121,57548,1706554460.4,57548,1291,57548
01,123,38516,1591493611.9,38516,426,37745
01,125,122453,3352487293.5,122453,1104,113179
01,127,57257,1990567737.8,57257,593,56949
01,129,25859,2771878188.4,25859,207,22147
01,131,16524,2269825651.4,16524,0,0
01,133,28624,1575584939.2,28624,854,28376
02,013,161,3334415.4,161,1,46
02,016,1981,80747673.4,1981,152,1050
02,020,99696,1329141967.9,99696,1439,98647
02,050,5061,1797349078.7,5061,115,3478
02,060,2331,199796743.1,2331,66,357
02,063,7580,1789637429.0,7580,681,4530
02,066,1162,126394648.1,1162,0,35
02,068,7469,1447616440.2,7469,123,7206
02,070,4190,170874295.3,4190,131,2139
02,090,64065,11194342130.7,64065,9955,58034
02,100,4683,317046373.4,4683,352,3796
02,105,16,46262277.1,16,0,0
02,110,13170,367062962.5,13170,0,0
02,122,65547,9306565442.9,65547,3481,65542
02,130,7498,433392938.0,7498,689,7458
02,150,8731,3647808151.5,8731,2235,8479
02,158,1774,266594843.8,1774,24,925
02,164,1209,91997973.2,1209,13,175
02,170,111161,63224392970.8,111161,4112,82067
02,180,8309,168422400.7,8309,808,4868
02,185,18313,2651085881.9,18313,1240,10917
02,188,1880,321213291.5,1880,62,79
02,195,8016,405785908.4,8016,2662,7077
02,198,92,404891.0,92,0,1
02,220,10267,101366711.9,10267,371,3732
02,230,2617,37252517.1,2617,28,2353
02,240,281,17033806.2,281,1,17
02,275,4300,155181468.3,4300,605,3502
02,282,2353,13216037442.9,2353,628,2170
02,290,2142,983138441.8,2142,305,861
04,001,50195,3651128045.0,50195,574,50048
04,003,122596,7232054592.6,122596,4454,122596
04,005,72162,6882391683.6,72162,1375,72093
04,007,35925,445769724.7,35925,981,35816
04,009,14278,946668502.4,14278,689,14272
04,011,4309,894073485.2,4309,0,0
04,012,11473,1824130677.0,11473,745,11276
04,013,1755114,7410183426.2,1755114,20916,1749103
04,015,269891,15856944290.2,269891,8318,266790
04,017,86815,6621872265.6,86815,1401,84209
04,019,448061,8781325519.4,448061,13293,447258
04,021,283526,13901845820.7,283526,6977,274448
04,023,36217,1046200187.5,36217,147,9483
04,025,206398,31729132.7,206398,0,0
04,027,96698,14145700688.7,96698,0,0
05,001,15995,2632577089.9,15995,415,15995
05,003,19315,2409805509.8,19315,529,19313
05,005,39974,1458182361.5,39974,2411,39974
05,007,174229,2262209028.5,174229,3689,174228
05,009,29374,1471121091.1,29374,210,29374
05,011,12489,1638720062.9,12489,191,12487
05,013,9737,1581694696.6,9737,40,9737
05,015,25708,1649132196.0,25708,317,25706
05,017,10846,1528622577.4,10846,153,10846
05,019,20479,2330611269.6,20479,436,20478
05,021,16359,1683272891.1,16359,485,16359
05,023,30995,1506312434.1,30995,556,30995
05,025,8039,1398181093.9,8039,4,8039
05,027,19485,1806197205.0,19485,132,19485
05,029,19478,1446579186.4,19478,371,19477
05,031,49512,1776059513.2,49512,641,49062
05,033,37614,1544628787.5,37614,1404,37614
05,035,27319,1551199159.6,27319,514,27319
05,037,12287,1637655949.8,12287,169,12287
05,039,10762,1619803839.9,10762,122,10762
05,041,9615,1677079725.5,9615,264,9615
05,043,13193,1958112421.9,13193,124,13193
05,045,65988,1707068073.4,65988,636,65988
05,047,15370,1512581183.9,15370,414,15355
05,049,10932,1282240945.5,10932,70,10932
05,051,77015,1994343288.7,77015,1425,77015
05,053,16025,1672419479.7,16025,116,16025
05,055,27778,1476908409.0,27778,397,27778
05,057,18476,1896581830.7,18476,503,18475
05,059,23414,1541474618.6,23414,157,23414
05,061,10479,1669203071.1,10479,352,10479
05,063,29330,1879969881.4,29330,223,29330
05,065,30272,1496746262.7,30272,201,30272
05,067,14108,1696134757.9,14108,258,14108
05,069,54564,2317978835.5,54564,1102,54564
05,071,17920,1705726934.6,17920,650,17919
05,073,11210,1314410146.5,11210,188,11210
05,075,9662,1463572332.4,9662,112,9662
05,077,10118,1313273049.3,10118,164,10117
05,079,10160,1394360508.3,10160,117,10160
05,081,14537,1444402353.8,14537,455,14537
05,083,20083,1774408926.6,20083,795,20083
05,085,37702,1896743310.6,37702,372,37702
05,087,20799,2213653488.5,20799,550,20799
05,089,13411,1617847895.5,13411,911,13411
05,091,27097,1654452417.6,27097,487,27097
05,093,30840,2276732588.5,30840,834,30840
05,095,8785,1554204545.1,8785,495,8785
05,097,11214,2025870498.7,11214,1875,11214
05,099,12094,1487195054.0,12094,197,12094
05,101,9946,2587347157.6,9946,2068,9945
05,103,16561,1750129844.2,16561,359,16560
05,105,10335,1411280825.4,10335,966,10335
05,107,19421,1765627200.4,19421,509,19421
05,109,11451,1607398444.8,11451,370,11451
05,111,17942,1743981538.9,17942,418,17942
05,113,19212,2271754478.7,19212,1072,19212
05,115,32491,2041461238.6,32491,556,32491
05,117,10136,1753636392.5,10136,533,10136
05,119,180262,1852788579.3,180262,2354,180262
05,121,17973,1622938821.9,17973,230,17973
05,123,17934,1462972914.0,17934,349,17934
05,125,79858,1864349049.8,79858,1084,79858
05,127,10812,2333321578.3,10812,1492,10812
05,129,11756,1673064398.0,11756,283,11756
